Year,State,Crime_Type,Reported_Cases,Solved_Cases,Latitude,Longitude
2020,Rajasthan,Murder,510,450,26.9124,75.7873
2020,Rajasthan,Cyber Crime,1800,550,26.9124,75.7873
2020,Rajasthan,Kidnapping,950,700,26.9124,75.7873
2020,Rajasthan,Rioting,450,350,26.9124,75.7873
2020,Gujarat,Theft,8100,5500,23.0225,72.5714
2020,Gujarat,Assault,5500,4000,23.0225,72.5714
2020,Gujarat,Murder,530,470,23.0225,72.5714
2020,Gujarat,Cyber Crime,3500,1200,23.0225,72.5714
2020,Gujarat,Kidnapping,750,550,23.0225,72.5714
2020,Gujarat,Rioting,380,300,23.0225,72.5714
2020,West Bengal,Theft,10900,6800,22.5726,88.3639
2020,West Bengal,Assault,7500,5000,22.5726,88.3639
2020,West Bengal,Murder,890,800,22.5726,88.3639
2020,West Bengal,Cyber Crime,1800,550,22.5726,88.3639
2020,West Bengal,Kidnapping,1380,940,22.5726,88.3639
2020,West Bengal,Rioting,800,620,22.5726,88.3639
2021,Maharashtra,Theft,13200,8300,19.0760,72.8777
2021,Maharashtra,Assault,8800,5950,19.0760,72.8777
2021,Maharashtra,Murder,810,725,19.0760,72.8777
2021,Maharashtra,Cyber Crime,5800,2100,19.0760,72.8777
2021,Maharashtra,Kidnapping,1200,810,19.0760,72.8777
2021,Maharashtra,Rioting,510,380,19.0760,72.8777
2021,Delhi,Theft,15100,8600,28.7041,77.1025
2021,Delhi,Assault,9800,6700,28.7041,77.1025
2021,Delhi,Murder,880,790,28.7041,77.1025
2021,Delhi,Cyber Crime,7200,2500,28.7041,77.1025
2021,Delhi,Kidnapping,1400,950,28.7041,77.1025
2021,Delhi,Rioting,600,480,28.7041,77.1025
2021,Uttar Pradesh,Theft,16500,9100,26.8467,80.9462
2021,Uttar Pradesh,Assault,12100,8200,26.8467,80.9462
2021,Uttar Pradesh,Murder,1320,1180,26.8467,80.9462
2021,Uttar Pradesh,Cyber Crime,3200,950,26.8467,80.9462
2021,Uttar Pradesh,Kidnapping,1950,1350,26.8467,80.9462
2021,Uttar Pradesh,Rioting,1050,750,26.8467,80.9462
2021,Karnataka,Theft,10500,6700,12.9716,77.5946
2021,Karnataka,Assault,7000,4700,12.9716,77.5946
2021,Karnataka,Murder,650,590,12.9716,77.5946
2021,Karnataka,Cyber Crime,6500,2300,12.9716,77.5946
2021,Karnataka,Kidnapping,1020,730,12.9716,77.5946
2021,Karnataka,Rioting,410,330,12.9716,77.5946
2021,Tamil Nadu,Theft,9500,6300,13.0827,80.2707
2021,Tamil Nadu,Assault,6200,4500,13.0827,80.2707
2021,Tamil Nadu,Murder,610,550,13.0827,80.2707
2021,Tamil Nadu,Cyber Crime,5300,1900,13.0827,80.2707
2021,Tamil Nadu,Kidnapping,910,650,13.0827,80.2707
2021,Tamil Nadu,Rioting,350,280,13.0827,80.2707
2021,Rajasthan,Theft,8000,5100,26.9124,75.7873
2021,Rajasthan,Assault,5500,4000,26.9124,75.7873
2021,Rajasthan,Murder,540,480,26.9124,75.7873
2021,Rajasthan,Cyber Crime,2400,700,26.9124,75.7873
2021,Rajasthan,Kidnapping,1010,750,26.9124,75.7873
2021,Rajasthan,Rioting,500,400,26.9124,75.7873
2021,Gujarat,Theft,8600,5800,23.0225,72.5714
2021,Gujarat,Assault,5800,4200,23.0225,72.5714
2021,Gujarat,Murder,560,500,23.0225,72.5714
2021,Gujarat,Cyber Crime,4600,1600,23.0225,72.5714
2021,Gujarat,Kidnapping,800,590,23.0225,72.5714
2021,Gujarat,Rioting,420,330,23.0225,72.5714
2021,West Bengal,Theft,12200,7600,22.5726,88.3639
2021,West Bengal,Assault,8300,5600,22.5726,88.3639
2021,West Bengal,Murder,910,820,22.5726,88.3639
2021,West Bengal,Cyber Crime,2200,680,22.5726,88.3639
2021,West Bengal,Kidnapping,1500,1020,22.5726,88.3639
2021,West Bengal,Rioting,850,660,22.5726,88.3639
2022,Maharashtra,Theft,13900,8750,19.0760,72.8777
2022,Maharashtra,Assault,9200,6200,19.0760,72.8777
2022,Maharashtra,Murder,830,740,19.0760,72.8777
2022,Maharashtra,Cyber Crime,7500,2600,19.0760,72.8777
2022,Maharashtra,Kidnapping,1280,860,19.0760,72.8777
2022,Maharashtra,Rioting,550,410,19.0760,72.8777
2022,Delhi,Theft,15800,9000,28.7041,77.1025
2022,Delhi,Assault,10400,7100,28.7041,77.1025
2022,Delhi,Murder,910,820,28.7041,77.1025
2022,Delhi,Cyber Crime,9300,3100,28.7041,77.1025
2022,Delhi,Kidnapping,1480,1010,28.7041,77.1025
2022,Delhi,Rioting,640,510,28.7041,77.1025
2022,Uttar Pradesh,Theft,17200,9500,26.8467,80.9462
2022,Uttar Pradesh,Assault,12800,8700,26.8467,80.9462
2022,Uttar Pradesh,Murder,1380,1230,26.8467,80.9462
2022,Uttar Pradesh,Cyber Crime,4100,1200,26.8467,80.9462
2022,Uttar Pradesh,Kidnapping,2050,1450,26.8467,80.9462
2022,Uttar Pradesh,Rioting,1150,820,26.8467,80.9462
2022,Karnataka,Theft,11100,7100,12.9716,77.5946
2022,Karnataka,Assault,7400,5000,12.9716,77.5946
2022,Karnataka,Murder,680,610,12.9716,77.5946
2022,Karnataka,Cyber Crime,8200,2900,12.9716,77.5946
2022,Karnataka,Kidnapping,1080,770,12.9716,77.5946
2022,Karnataka,Rioting,450,360,12.9716,77.5946
2022,Tamil Nadu,Theft,10200,6800,13.0827,80.2707
2022,Tamil Nadu,Assault,6700,4900,13.0827,80.2707
2022,Tamil Nadu,Murder,640,580,13.0827,80.2707
2022,Tamil Nadu,Cyber Crime,6800,2400,13.0827,80.2707
2022,Tamil Nadu,Kidnapping,980,700,13.0827,80.2707
2022,Tamil Nadu,Rioting,400,320,13.0827,80.2707
2022,Rajasthan,Theft,8600,5500,26.9124,75.7873
2022,Rajasthan,Assault,5900,4300,26.9124,75.7873
2022,Rajasthan,Murder,580,520,26.9124,75.7873
2022,Rajasthan,Cyber Crime,3200,900,26.9124,75.7873
2022,Rajasthan,Kidnapping,1100,810,26.9124,75.7873
2022,Rajasthan,Rioting,560,450,26.9124,75.7873
2022,Gujarat,Theft,9200,6200,23.0225,72.5714
2022,Gujarat,Assault,6200,4500,23.0225,72.5714
2022,Gujarat,Murder,600,540,23.0225,72.5714
2022,Gujarat,Cyber Crime,6100,2100,23.0225,72.5714
2022,Gujarat,Kidnapping,860,630,23.0225,72.5714
2022,Gujarat,Rioting,470,370,23.0225,72.5714
2022,West Bengal,Theft,12800,7950,22.5726,88.3639
2022,West Bengal,Assault,8700,5900,22.5726,88.3639
2022,West Bengal,Murder,940,850,22.5726,88.3639
2022,West Bengal,Cyber Crime,2800,800,22.5726,88.3639
2022,West Bengal,Kidnapping,1580,1080,22.5726,88.3639
2022,West Bengal,Rioting,900,700,22.5726,88.3639
2023,Maharashtra,Theft,14800,9200,19.0760,72.8777
2023,Maharashtra,Assault,9900,6600,19.0760,72.8777
2023,Maharashtra,Murder,850,760,19.0760,72.8777
2023,Maharashtra,Cyber Crime,9800,3300,19.0760,72.8777
2023,Maharashtra,Kidnapping,1350,900,19.0760,72.8777
2023,Maharashtra,Rioting,600,450,19.0760,72.8777
2023,Delhi,Theft,16900,9500,28.7041,77.1025
2023,Delhi,Assault,11200,7600,28.7041,77.1025
2023,Delhi,Murder,940,840,28.7041,77.1025
2023,Delhi,Cyber Crime,12500,4200,28.7041,77.1025
2023,Delhi,Kidnapping,1550,1060,28.7041,77.1025
2023,Delhi,Rioting,690,550,28.7041,77.1025
2023,Uttar Pradesh,Theft,18100,10000,26.8467,80.9462
2023,Uttar Pradesh,Assault,13600,9200,26.8467,80.9462
2023,Uttar Pradesh,Murder,1420,1270,26.8467,80.9462
2023,Uttar Pradesh,Cyber Crime,5400,1600,26.8467,80.9462
2023,Uttar Pradesh,Kidnapping,2150,1520,26.8467,80.9462
2023,Uttar Pradesh,Rioting,1250,880,26.8467,80.9462
2023,Karnataka,Theft,11900,7600,12.9716,77.5946
2023,Karnataka,Assault,8000,5400,12.9716,77.5946
2023,Karnataka,Murder,710,640,12.9716,77.5946
2023,Karnataka,Cyber Crime,11000,3800,12.9716,77.5946
2023,Karnataka,Kidnapping,1150,820,12.9716,77.5946
2023,Karnataka,Rioting,500,400,12.9716,77.5946
2023,Tamil Nadu,Theft,11000,7300,13.0827,80.2707
2023,Tamil Nadu,Assault,7300,5300,13.0827,80.2707
2023,Tamil Nadu,Murder,680,610,13.0827,80.2707
2023,Tamil Nadu,Cyber Crime,8900,3100,13.0827,80.2707
2023,Tamil Nadu,Kidnapping,1050,750,13.0827,80.2707
2023,Tamil Nadu,Rioting,450,360,13.0827,80.2707
2023,Rajasthan,Theft,9300,5900,26.9124,75.7873
2023,Rajasthan,Assault,6400,4700,26.9124,75.7873
2023,Rajasthan,Murder,620,560,26.9124,75.7873
2023,Rajasthan,Cyber Crime,4300,1200,26.9124,75.7873
2023,Rajasthan,Kidnapping,1200,880,26.9124,75.7873
2023,Rajasthan,Rioting,620,500,26.9124,75.7873
2023,Gujarat,Theft,9900,6700,23.0225,72.5714
2023,Gujarat,Assault,6700,4900,23.0225,72.5714
2023,Gujarat,Murder,640,580,23.0225,72.5714
2023,Gujarat,Cyber Crime,8200,2800,23.0225,72.5714
2023,Gujarat,Kidnapping,930,680,23.0225,72.5714
2023,Gujarat,Rioting,520,410,23.0225,72.5714
2023,West Bengal,Theft,13500,8400,22.5726,88.3639
2023,West Bengal,Assault,9200,6200,22.5726,88.3639
2023,West Bengal,Murder,980,880,22.5726,88.3639
2023,West Bengal,Cyber Crime,3500,950,22.5726,88.3639
2023,West Bengal,Kidnapping,1650,1130,22.5726,88.3639
2023,West Bengal,Rioting,980,750,22.5726,88.3639
2024,Maharashtra,Theft,15500,9800,19.0760,72.8777
2024,Maharashtra,Assault,10500,7100,19.0760,72.8777
2024,Maharashtra,Murder,880,790,19.0760,72.8777
2024,Maharashtra,Cyber Crime,12500,4200,19.0760,72.8777
2024,Maharashtra,Kidnapping,1420,950,19.0760,72.8777
2024,Maharashtra,Rioting,650,490,19.0760,72.8777
2024,Delhi,Theft,17800,10100,28.7041,77.1025
2024,Delhi,Assault,11900,8100,28.7041,77.1025
2024,Delhi,Murder,980,880,28.7041,77.1025
2024,Delhi,Cyber Crime,16000,5400,28.7041,77.1025
2024,Delhi,Kidnapping,1630,1120,28.7041,77.1025
2024,Delhi,Rioting,750,600,28.7041,77.1025
2024,Uttar Pradesh,Theft,19000,10600,26.8467,80.9462
2024,Uttar Pradesh,Assault,14300,9700,26.8467,80.9462
2024,Uttar Pradesh,Murder,1470,1320,26.8467,80.9462
2024,Uttar Pradesh,Cyber Crime,6800,2000,26.8467,80.9462
2024,Uttar Pradesh,Kidnapping,2250,1590,26.8467,80.9462
2024,Uttar Pradesh,Rioting,1350,950,26.8467,80.9462
2024,Karnataka,Theft,12600,8100,12.9716,77.5946
2024,Karnataka,Assault,8500,5800,12.9716,77.5946
2024,Karnataka,Murder,740,670,12.9716,77.5946
2024,Karnataka,Cyber Crime,14500,4900,12.9716,77.5946
2024,Karnataka,Kidnapping,1220,870,12.9716,77.5946
2024,Karnataka,Rioting,550,440,12.9716,77.5946
2024,Tamil Nadu,Theft,11800,7800,13.0827,80.2707
2024,Tamil Nadu,Assault,7800,5700,13.0827,80.2707
2024,Tamil Nadu,Murder,720,650,13.0827,80.2707
2024,Tamil Nadu,Cyber Crime,11500,3900,13.0827,80.2707
2024,Tamil Nadu,Kidnapping,1120,800,13.0827,80.2707
2024,Tamil Nadu,Rioting,500,400,13.0827,80.2707
2024,Rajasthan,Theft,9900,6300,26.9124,75.7873
2024,Rajasthan,Assault,6800,5000,26.9124,75.7873
2024,Rajasthan,Murder,660,590,26.9124,75.7873
2024,Rajasthan,Cyber Crime,5500,1600,26.9124,75.7873
2024,Rajasthan,Kidnapping,1290,940,26.9124,75.7873
2024,Rajasthan,Rioting,680,550,26.9124,75.7873
2024,Gujarat,Theft,10600,7200,23.0225,72.5714
2024,Gujarat,Assault,7200,5300,23.0225,72.5714
2024,Gujarat,Murder,680,610,23.0225,72.5714
2024,Gujarat,Cyber Crime,10800,3600,23.0225,72.5714
2024,Gujarat,Kidnapping,990,730,23.0225,72.5714
2024,Gujarat,Rioting,570,450,23.0225,72.5714
2024,West Bengal,Theft,14200,8900,22.5726,88.3639
2024,West Bengal,Assault,9700,6600,22.5726,88.3639
2024,West Bengal,Murder,1020,920,22.5726,88.3639
2024,West Bengal,Cyber Crime,4300,1150,22.5726,88.3639
2024,West Bengal,Kidnapping,1730,1190,22.5726,88.3639
2024,West Bengal,Rioting,1050,800,22.5726,88.3639
